time, open, high, low, close, volume
"2025.05.22,05:15",3340.47,3340.52,3338.80,3338.80,341
"2025.05.22,05:20",3338.80,3339.15,3336.57,3337.79,333
"2025.05.22,05:25",3337.81,3340.46,3337.27,3337.30,383
"2025.05.22,05:30",3337.35,3340.00,3337.08,3338.86,357
"2025.05.22,05:35",3338.73,3340.23,3338.65,3339.88,353
"2025.05.22,05:40",3339.89,3343.72,3339.54,3343.52,396
"2025.05.22,05:45",3343.55,3344.68,3342.75,3343.44,376
"2025.05.22,05:50",3343.38,3343.83,3339.52,3341.10,380
"2025.05.22,05:55",3341.10,3341.94,3340.21,3341.11,382
"2025.05.22,06:00",3341.14,3341.27,3338.54,3340.63,398
"2025.05.22,06:05",3340.71,3343.76,3340.71,3342.19,385
"2025.05.22,06:10",3342.14,3343.83,3341.74,3342.37,317
"2025.05.22,06:15",3342.46,3345.31,3342.37,3342.79,362
"2025.05.22,06:20",3342.79,3343.27,3340.98,3343.05,351
"2025.05.22,06:25",3343.04,3343.19,3340.21,3340.23,320
"2025.05.22,06:30",3340.21,3340.76,3337.81,3340.39,357
"2025.05.22,06:35",3340.38,3340.77,3338.82,3340.24,290
"2025.05.22,06:40",3340.34,3340.62,3339.24,3339.51,252
"2025.05.22,06:45",3339.50,3339.62,3337.99,3338.41,326
"2025.05.22,06:50",3338.36,3338.46,3336.53,3336.77,313
"2025.05.22,06:55",3336.72,3337.01,3334.90,3335.43,346
"2025.05.22,07:00",3335.41,3336.37,3332.78,3333.48,357
"2025.05.22,07:05",3333.53,3334.95,3333.53,3334.84,275
"2025.05.22,07:10",3334.87,3335.97,3334.55,3335.12,274
"2025.05.22,07:15",3335.13,3336.67,3334.96,3336.45,247
"2025.05.22,07:20",3336.20,3336.61,3335.46,3336.40,261
"2025.05.22,07:25",3336.44,3337.19,3335.69,3336.90,251
"2025.05.22,07:30",3336.89,3337.76,3334.99,3336.04,336
"2025.05.22,07:35",3335.94,3337.47,3335.43,3336.22,264
"2025.05.22,07:40",3336.17,3337.23,3336.10,3336.44,274
"2025.05.22,07:45",3336.40,3337.96,3336.28,3337.86,260
"2025.05.22,07:50",3337.96,3338.49,3337.31,3337.88,261
"2025.05.22,07:55",3337.88,3339.12,3336.97,3338.56,258
"2025.05.22,08:00",3338.56,3339.24,3338.29,3338.87,246
"2025.05.22,08:05",3338.86,3339.41,3337.01,3337.55,270
"2025.05.22,08:10",3337.53,3337.82,3336.31,3336.60,237
"2025.05.22,08:15",3336.60,3337.18,3336.22,3336.24,216
"2025.05.22,08:20",3336.20,3338.62,3336.09,3338.35,275
"2025.05.22,08:25",3338.43,3338.88,3337.32,3337.78,266
"2025.05.22,08:30",3337.78,3339.07,3336.18,3337.30,339
"2025.05.22,08:35",3337.30,3339.11,3337.19,3337.91,350
"2025.05.22,08:40",3337.74,3337.74,3335.45,3335.98,377
"2025.05.22,08:45",3335.96,3335.96,3330.32,3330.79,426
"2025.05.22,08:50",3330.73,3331.81,3326.33,3328.24,440
"2025.05.22,08:55",3328.23,3332.53,3327.50,3332.34,390
"2025.05.22,09:00",3332.34,3334.97,3332.34,3334.82,368
"2025.05.22,09:05",3334.81,3335.50,3332.71,3332.80,401
"2025.05.22,09:10",3332.98,3335.09,3332.64,3333.20,368
"2025.05.22,09:15",3333.57,3333.93,3331.62,3331.66,362
"2025.05.22,09:20",3331.59,3331.83,3329.00,3329.74,374
